vehiclemodel_brand,vehiclemodel_name,vehiclemodel_version,vehiclemodel_production,vehiclemodel_details,image_url,raw_model
PEUGEOT,307,1.6 16V,2010-2012,,https://tubosilescapes.com.ar/imagenesproductos/cat_960_1.jpg,PEUGEOT 307 - 1.6 16V (10/12)
PEUGEOT,307,2.0 16V,2001-2006,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_379_1.jpg,PEUGEOT 307 - 2.0 16V Sin Baul (01/06)
PEUGEOT,307,2.0 16V,2001-2006,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_380_1.jpg,PEUGEOT 307 - 2.0 16V Con Baul (01/06)
PEUGEOT,307,2.0 16V,2006-2012,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_381_1.jpg,PEUGEOT 307 - 2.0 16V Sin Baul (06/12)
PEUGEOT,307,2.0 16V,2006-2012,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_382_1.jpg,PEUGEOT 307 - 2.0 16V Con Baul (06/12)
PEUGEOT,307,2.0 HDI,2001-2010,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_383_1.jpg,PEUGEOT 307 - 2.0 HDI Sin Baul (01/10)
PEUGEOT,207,1.4,2008-2016,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_760_1.jpg,PEUGEOT 207 - 1.4 - Sin Baul (08/16)
PEUGEOT,207,1.4,2009-2015,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_761_1.jpg,PEUGEOT 207 - 1.4 Con Baul (09/15)
PEUGEOT,207,1.6 16V,2008-2013,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_829_1.jpg,PEUGEOT 207 - 1.6 16V Sin Baul (08/13)
PEUGEOT,207,1.6 16V,2008-2013,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_830_1.jpg,PEUGEOT 207 - 1.6 16V Con Baul (08/13)
PEUGEOT,208,1.5 8V,2013-2017,,https://tubosilescapes.com.ar/imagenesproductos/cat_940_1.jpg,PEUGEOT 208 - 1.5 8V (13/17)
PEUGEOT,208,1.6 16V,2013-2019,,https://tubosilescapes.com.ar/imagenesproductos/cat_958_1.jpg,PEUGEOT 208 - 1.6 16V (13/19)
PEUGEOT,208,1.6 16V,2019-ACTUALIDAD,,https://tubosilescapes.com.ar/imagenesproductos/cat_1002_1.jpg,PEUGEOT 208 - 1.6 16V (19->)
PEUGEOT,408,2.0,2011-2018,,https://tubosilescapes.com.ar/imagenesproductos/cat_876_1.jpg,PEUGEOT 408 - 2.0 (11/18)
PEUGEOT,408,1.6 16V,2015-2021,,https://tubosilescapes.com.ar/imagenesproductos/cat_1006_1.jpg,PEUGEOT 408 - 1.6 16V (15/21)
PEUGEOT,308,1.6 16V,2012-2022,,https://tubosilescapes.com.ar/imagenesproductos/cat_961_1.jpg,PEUGEOT 308 - 1.6 16V (12/22)
