vehiclemodel_brand,vehiclemodel_name,vehiclemodel_version,vehiclemodel_production,vehiclemodel_details,image_url,raw_model
TOYOTA,PICK UP,DIESEL,1981-1983,,https://tubosilescapes.com.ar/imagenesproductos/cat_918_1.jpg,TOYOTA PICK UP - DIESEL (81/83)
TOYOTA,PICK UP HILUX 4x2,2.8 DIESEL,1996-2001,,https://tubosilescapes.com.ar/imagenesproductos/cat_919_1.jpg,TOYOTA PICK UP HILUX 4x2 - 2.8 DIESEL (96/01)
TOYOTA,PICK UP HILUX 4x4,2.8 DIESEL,1996-2001,,https://tubosilescapes.com.ar/imagenesproductos/cat_920_1.jpg,TOYOTA PICK UP HILUX 4x4 - 2.8 DIESEL (96/01)
TOYOTA,PICK UP HILUX,3.0 DIESEL,2002-2005,CAB. DOBLE,https://tubosilescapes.com.ar/imagenesproductos/cat_921_1.jpg,TOYOTA PICK UP HILUX - 3.0 DIESEL - CAB. DOBLE (02/05)
TOYOTA,HILUX,3.0 TDI,2005-2015,CAB DOBLE 4X2,https://tubosilescapes.com.ar/imagenesproductos/cat_922_1.jpg,TOYOTA HILUX - 3.0 TDI - CAB DOBLE 4x2 (05/15)
TOYOTA,ETIOS,1.5,2013-ACTUALIDAD,SIN BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_923_1.jpg,TOYOTA ETIOS - 1.5 Sin Baul (13->)
TOYOTA,ETIOS,1.5,2013-ACTUALIDAD,CON BAUL,https://tubosilescapes.com.ar/imagenesproductos/cat_924_1.jpg,TOYOTA ETIOS - 1.5 Con Baul (13->)
